All PCS,Gag
97.86,94.96
98.01,96.16
91.82,90.28
92.41,89.68
90.25,83.49
88.4,82.5
87.39,81.89
45.54,43.45
96.61,94.27
88.93,83.76
73.55,71.06
90.39,86.36
90.7,83.68
96.38,92.93
78.59,70.34
90.02,84.03
94.51,90.67
21.32,21.32
15.73,11.83
97.97,95.37
95,91.75
84.97,83.32
97.83,96.1
99.69,99.31
98.83,98.12
97.06,95.61
89.61,81.22
97.55,95.98
61.45,61.45
99.5,99
95.77,94.52
98.84,97.93
99.29,98.61
98.14,96.91
45.51,24.86
34.23,34.23
97.6,94.03
98.05,95.12
95.31,92.25
96.22,90.26
90.62,84.17
80.37,68.99
85.6,75.51
95.88,92.69
95.96,91.45
97.26,95.33
38.52,37.91
56.8,21.48
95.6,90.09
96.37,92.97
95.85,92.37
94.99,91.88
93.64,90.65
95.53,89.19
95.05,90.98
4.91,4.91
98.42,96.65
98.63,94.22
95.97,92.14
94.03,88.63
76.97,65.99
99.99,98.85
94.22,94.15
98.79,98.6
96.85,95.47
94.91,90.45